Plant Id,Plant Name,Operator Id,Operator Name,Plant State,NERC Region,Balancing Authority Code,Reported Fuel Type Code,Reported Prime Mover,Netgen January,Netgen February,Netgen March,Netgen April,Netgen May,Netgen June,Netgen July,Netgen August,Netgen September,Netgen October,Netgen November,Netgen December,Net Generation (Megawatthours)
1,Sand Point,63560,"TDX Sand Point Generating, LLC",AK,Unknown,Unknown,WND,WT,30.317,31.076,31.133,30.983,29.431,31.203,23.001,23.325,23.559,28.982,33.296,30.694,347.0
90,Snake River,13642,Nome Joint Utility Systems,AK,Unknown,Unknown,WND,WT,208.197,213.415,213.804,212.774,202.118,214.283,157.956,160.182,161.789,199.034,228.657,210.791,2383.0
508,Lamar Plant,10633,City of Lamar - (CO),CO,WECC,PSCO,WND,WT,1367.376,1098.836,991.476,969.997,1368.073,1011.494,1097.18,1042.126,901.626,952.676,1092.82,1338.32,13232.0
692,Medicine Bow,62042,SRIV Partnership LLC,WY,WECC,WAUW,WND,WT,2015.116,1747.224,1325.983,1127.258,1026.192,1071.784,942.308,786.864,765.206,1313.838,1936.102,2063.125,16121.0
944,Geneseo,7095,City of Geneseo - (IL),IL,MRO,MISO,WND,WT,490.0,433.0,698.0,691.0,468.0,306.0,216.0,190.0,420.0,540.0,855.0,548.0,5855.0
1172,Osage (IA),14201,City of Osage - (IA),IA,MRO,MISO,WND,WT,319.065,384.933,384.13,382.283,338.138,396.635,217.282,293.643,378.276,422.41,483.311,372.894,4373.0
1998,Mountain Lake,13048,City of Mountain Lake - (MN),MN,MRO,MISO,WND,WT,250.177,322.842,320.892,267.867,230.758,250.799,170.015,227.623,239.946,244.282,288.38,263.419,3077.0
2022,Willmar,20737,Willmar Municipal Utilities,MN,MRO,MISO,WND,WT,581.988,751.025,746.487,623.136,536.811,583.432,395.504,529.517,558.184,568.271,670.856,612.789,7158.0
2024,Worthington,21013,City of Worthington - (MN),MN,MRO,MISO,WND,WT,878.509,1133.672,1126.823,940.624,810.317,880.69,597.013,799.306,842.579,857.805,1012.657,925.005,10805.0
2240,Lon Wright,6779,City of Fremont - (NE),NE,MRO,SWPP,WND,WT,16826.477,17713.35,17144.694,16588.008,14326.331,18050.121,13045.475,15497.789,16828.635,17198.506,18261.923,18093.691,199575.0
6304,Kotzebue Hybrid,10451,Kotzebue Electric Assn Inc,AK,Unknown,Unknown,WND,WT,347.986,356.706,357.357,355.635,337.824,358.157,264.011,267.732,270.419,332.67,382.182,352.321,3983.0
7381,Searsburg Wind Turbine,7601,Green Mountain Power Corp,VT,NPCC,ISNE,WND,WT,1339.0,1123.0,1096.0,1307.0,1113.0,550.0,594.0,722.0,757.0,795.0,1410.0,1444.0,12250.0
7501,Princeton Wind Farm,15371,Town of Princeton - (MA),MA,NPCC,ISNE,WND,WT,303.516,323.454,407.547,468.271,388.519,214.354,225.375,253.554,284.332,302.502,501.233,460.343,4133.0
7526,Solano Wind,16534,Sacramento Municipal Util Dist,CA,WECC,CISO,WND,WT,13164.0,34872.0,29929.0,49933.0,55757.0,76627.0,98455.0,72236.0,55689.0,31909.0,21283.0,15921.0,555775.0
7771,Springview,58190,Bluestem LLC,NE,MRO,SWPP,WND,WT,848.68,893.411,864.73,836.652,722.58,910.397,657.977,781.665,848.789,867.444,921.08,912.595,10066.0
7855,Moorhead Wind Turbine,12894,City of Moorhead - (MN),MN,MRO,SWPP,WND,WT,179.93,232.19,230.787,192.652,165.963,180.376,122.276,163.708,172.571,175.689,207.405,189.453,2213.0
7886,Wind Turbine,11479,Madison Gas & Electric Co,WI,MRO,MISO,WND,WT,1545.728,1806.452,1722.326,1584.023,1478.172,1089.942,739.711,779.721,1413.973,1678.006,2133.113,1571.833,17543.0
7927,Buffalo Mountain,18642,Tennessee Valley Authority,TN,SERC,TVA,WND,WT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
