turbine_id,plant_id,state,county,project_name,project_year,turbine_manufacturer,turbine_model,turbine_capacity_kw,is_retrofitted,retrofit_year,longitude,latitude
3072661,52161,CA,Kern County,251 Wind,1987.0,Vestas,,95.0,0,,-118.363762,35.077908
3072695,52161,CA,Kern County,251 Wind,1987.0,Vestas,,95.0,0,,-118.36441,35.077435
3072704,52161,CA,Kern County,251 Wind,1987.0,Vestas,,95.0,0,,-118.364197,35.077644
3063272,,IA,Story County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.430367,42.028233
3053390,,IA,Boone County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.700424,41.977608
3063269,,IA,Story County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.632835,41.882477
3049500,,IA,Story County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.515892,42.016373
3049502,,IA,Story County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.518082,42.01363
3063321,,IA,Hardin County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.367798,42.49794
3049503,,IA,Story County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.523651,42.006813
3060912,,IA,Story County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.51371,42.019119
3057059,,IA,Story County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-93.623009,41.88147
3049504,,IA,Poweshiek County,30 MW Iowa DG Portfolio,2017.0,Nordex,AW125/3000,3000.0,0,,-92.672089,41.742046
3046262,58661,MA,Barnstable County,6th Space Warning Squadron,2013.0,GE Wind,GE1.68-82.5,1680.0,0,,-70.541801,41.752491
3046335,58661,MA,Barnstable County,6th Space Warning Squadron,2013.0,GE Wind,GE1.68-82.5,1680.0,0,,-70.545303,41.754192
3039277,57253,MA,Barnstable County,AFCEE MMR Turbines,2011.0,GE Wind,GE1.5-77,1500.0,0,,-70.545303,41.757591
